Instance,Terminal,Layer,X location,Y location,Voltage
_184_,VGND,li1,21.1600,38.0800,0.000018
_183_,VGND,li1,24.8400,38.0800,0.000014
_182_,VGND,li1,26.6800,38.0800,0.000016
_181_,VGND,li1,28.2900,38.0800,0.000016
_180_,VGND,li1,20.2400,32.6400,0.000009
_179_,VGND,li1,39.1000,43.5200,0.000022
_178_,VGND,li1,49.9100,43.5200,0.000025
_177_,VGND,li1,42.0900,43.5200,0.000024
_176_,VGND,li1,47.6100,38.0800,0.000025
_175_,VGND,li1,22.7700,32.6400,0.000008
_174_,VGND,li1,24.6100,32.6400,0.000008
_173_,VGND,li1,36.1100,38.0800,0.000021
_172_,VGND,li1,9.8900,32.6400,0.000012
_171_,VGND,li1,15.4100,32.6400,0.000011
_170_,VGND,li1,33.3500,38.0800,0.000020
_169_,VGND,li1,40.9400,38.0800,0.000023
_168_,VGND,li1,33.8100,32.6400,0.000011
_167_,VGND,li1,44.1600,43.5200,0.000024
_166_,VGND,li1,38.4100,43.5200,0.000022
_165_,VGND,li1,46.6900,38.0800,0.000024
_164_,VGND,li1,50.8300,38.0800,0.000025
_163_,VGND,li1,40.7100,38.0800,0.000023
_162_,VGND,li1,50.1400,43.5200,0.000025
_161_,VGND,li1,37.9500,38.0800,0.000022
_160_,VGND,li1,45.7700,43.5200,0.000025
_159_,VGND,li1,42.0900,48.9600,0.000021
_158_,VGND,li1,8.0500,27.2000,0.000014
_157_,VGND,li1,21.8500,54.4000,0.000011
_156_,VGND,li1,50.1400,27.2000,0.000014
_155_,VGND,li1,48.3000,27.2000,0.000014
_154_,VGND,li1,49.4500,32.6400,0.000015
_153_,VGND,li1,32.8900,16.3200,0.000015
_152_,VGND,li1,30.5900,16.3200,0.000013
_151_,VGND,li1,22.5400,38.0800,0.000016
_150_,VGND,li1,48.3000,21.7600,0.000023
_149_,VGND,li1,45.0800,27.2000,0.000013
_148_,VGND,li1,41.4000,27.2000,0.000013
_147_,VGND,li1,46.4600,27.2000,0.000014
_146_,VGND,li1,43.0100,32.6400,0.000014
_145_,VGND,li1,51.2900,21.7600,0.000024
_144_,VGND,li1,49.9100,16.3200,0.000019
_143_,VGND,li1,45.5400,21.7600,0.000022
_142_,VGND,li1,46.4600,16.3200,0.000019
_141_,VGND,li1,47.1500,16.3200,0.000019
_140_,VGND,li1,36.8000,16.3200,0.000017
_139_,VGND,li1,47.6100,32.6400,0.000014
_138_,VGND,li1,46.2300,32.6400,0.000014
_137_,VGND,li1,51.2900,27.2000,0.000014
_136_,VGND,li1,36.8000,16.3200,0.000017
_135_,VGND,li1,34.7300,10.8800,0.000017
_134_,VGND,li1,33.8100,16.3200,0.000015
_133_,VGND,li1,27.6000,16.3200,0.000012
_132_,VGND,li1,37.2600,21.7600,0.000017
_131_,VGND,li1,38.1800,21.7600,0.000018
_130_,VGND,li1,41.4000,21.7600,0.000020
_129_,VGND,li1,37.9500,27.2000,0.000012
_128_,VGND,li1,38.4100,32.6400,0.000012
_127_,VGND,li1,39.7900,16.3200,0.000018
_126_,VGND,li1,39.3300,21.7600,0.000018
_125_,VGND,li1,15.1800,21.7600,0.000012
_124_,VGND,li1,15.8700,16.3200,0.000012
_123_,VGND,li1,20.9300,16.3200,0.000012
_122_,VGND,li1,42.0900,16.3200,0.000018
_121_,VGND,li1,44.3900,16.3200,0.000019
